,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,foreign_worker,credit_risk
726,... >= 200 DM / salary for at least 1 year,21,no credits taken/all credits paid back duly,others,2782,100 <= ... <  500 DM,4 <= ... < 7 yrs,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
727,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,1884,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,39,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
728,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,car (new),11054,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
729,... < 0 DM,60,existing credits paid back duly till now,furniture/equipment,9157,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,real estate,27,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
730,... < 0 DM,42,critical account/other credits elsewhere,car (new),9283,unknown/no savings account,unemployed,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,real estate,55,bank,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
731,... >= 200 DM / salary for at least 1 year,60,no credits taken/all credits paid back duly,others,6527,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,34,none,own,1,skilled employee/official,3 or more,no,good
732,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,car (new),3368,500 <= ... < 1000 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,23,none,for free,2-3,skilled employee/official,0 to 2,no,good
733,no checking account,15,no credits taken/all credits paid back duly,others,2511,unknown/no savings account,unemployed,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,1,skilled employee/official,0 to 2,no,good
734,no checking account,36,no credits taken/all credits paid back duly,car (new),5493,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,42,none,own,1,skilled employee/official,3 or more,no,good
735,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,radio/television,1338,100 <= ... <  500 DM,1 <= ... < 4 yrs,>= 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,62,none,rent,1,skilled employee/official,0 to 2,no,good
736,... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,1082,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,rent,2-3,unskilled - resident,0 to 2,no,good
737,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,1149,500 <= ... < 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,46,none,rent,2-3,skilled employee/official,0 to 2,no,good
738,... < 0 DM,15,no credits taken/all credits paid back duly,domestic appliances,1308,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,unskilled - resident,0 to 2,no,good
739,... < 0 DM,20,delay in paying off in the past,car (new),6148,... <  100 DM,>= 7 yrs,20 <= ... < 25,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,31,bank,rent,2-3,skilled employee/official,0 to 2,no,good
740,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (used),1736,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,unknown / no property,31,none,rent,1,unskilled - resident,0 to 2,no,good
741,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,3059,500 <= ... < 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,61,none,rent,1,unskilled - resident,0 to 2,no,good
742,no checking account,24,no credits taken/all credits paid back duly,car (used),2996,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,no,bad
743,... >= 200 DM / salary for at least 1 year,30,all credits at this bank paid back duly,car (new),7596,... >= 1000 DM,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,63,none,rent,2-3,skilled employee/official,0 to 2,no,good
744,... >= 200 DM / salary for at least 1 year,30,no credits taken/all credits paid back duly,car (new),4811,... >= 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,car or other,24,stores,for free,1,unskilled - resident,0 to 2,no,good
745,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),1766,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : single,none,1 <= ... < 4 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,good
746,... < 0 DM,24,no credits taken/all credits paid back duly,car (new),2760,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,36,bank,own,1,skilled employee/official,0 to 2,no,good
747,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,domestic appliances,5507,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,44,none,own,2-3,skilled employee/official,0 to 2,no,good
748,... < 0 DM,9,no credits taken/all credits paid back duly,repairs,1199,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,67,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,good
749,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,car (used),2892,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : divorced/separated,none,>= 7 yrs,real estate,51,none,own,1,skilled employee/official,0 to 2,no,good
750,... < 0 DM,36,existing credits paid back duly till now,others,2862,... <  100 DM,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,30,none,own,1,skilled employee/official,0 to 2,no,good
751,no checking account,9,no credits taken/all credits paid back duly,others,654,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,28,none,rent,1,unskilled - resident,0 to 2,no,bad
752,... < 0 DM,9,all credits at this bank paid back duly,repairs,1136,500 <= ... < 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,32,none,own,2-3,skilled employee/official,3 or more,no,bad
753,... < 0 DM,24,no credits taken/all credits paid back duly,car (new),4113,100 <= ... <  500 DM,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,skilled employee/official,0 to 2,no,bad
754,... < 0 DM,6,no credits taken/all credits paid back duly,others,14555,... >= 1000 DM,unemployed,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,23,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,bad
755,no checking account,15,delay in paying off in the past,others,950,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,33,none,for free,2-3,skilled employee/official,3 or more,no,bad
756,no checking account,24,all credits at this bank paid back duly,others,1199,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,60,none,rent,2-3,unskilled - resident,0 to 2,no,bad
757,no checking account,12,delay in paying off in the past,others,1082,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,48,bank,rent,2-3,skilled employee/official,0 to 2,no,bad
758,... < 0 DM,30,no credits taken/all credits paid back duly,others,2150,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,guarantor,1 <= ... < 4 yrs,real estate,24,bank,rent,1,skilled employee/official,0 to 2,no,bad
759,... < 0 DM,36,all credits at this bank paid back duly,others,2820,unknown/no savings account,< 1 yr,< 20,male : divorced/separated,none,>= 7 yrs,building soc. savings agr./life insurance,27,none,rent,2-3,skilled employee/official,0 to 2,no,bad
760,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,3060,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,28,none,rent,2-3,skilled employee/official,0 to 2,no,bad
761,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,2600,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,65,none,own,2-3,skilled employee/official,0 to 2,no,bad
762,... >= 200 DM / salary for at least 1 year,21,delay in paying off in the past,others,5003,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,car or other,29,bank,rent,2-3,skilled employee/official,0 to 2,no,bad
763,... < 0 DM,60,no credits taken/all credits paid back duly,repairs,6288,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,42,none,own,1,skilled employee/official,0 to 2,no,bad
764,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,others,2538,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,47,none,rent,2-3,unskilled - resident,3 or more,no,bad
765,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,furniture/equipment,1478,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,bad
766,... < 0 DM,39,all credits at this bank paid back duly,furniture/equipment,4933,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,guarantor,1 <= ... < 4 yrs,unknown / no property,25,none,rent,2-3,skilled employee/official,0 to 2,no,bad
767,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,1530,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,32,bank,rent,2-3,skilled employee/official,0 to 2,no,bad
768,... < 0 DM,9,critical account/other credits elsewhere,others,1437,... <  100 DM,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,bad
769,no checking account,15,no credits taken/all credits paid back duly,radio/television,1275,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,24,none,for free,1,skilled employee/official,0 to 2,no,bad
770,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1823,unknown/no savings account,unemployed,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,stores,rent,1,manager/self-empl./highly qualif. employee,3 or more,no,bad
771,no checking account,9,no credits taken/all credits paid back duly,others,1422,unknown/no savings account,< 1 yr,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,real estate,27,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
772,no checking account,18,no credits taken/all credits paid back duly,radio/television,1217,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : single,none,4 <= ... < 7 yrs,unknown / no property,47,none,rent,1,unskilled - resident,0 to 2,no,bad
773,no checking account,36,no credits taken/all credits paid back duly,others,9271,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,bad
774,no checking account,36,existing credits paid back duly till now,retraining,2145,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,2-3,skilled employee/official,0 to 2,no,bad
775,no checking account,36,no credits taken/all credits paid back duly,others,1842,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,no,bad
776,... < 0 DM,18,existing credits paid back duly till now,car (used),4297,unknown/no savings account,>= 7 yrs,< 20,male : divorced/separated,none,4 <= ... < 7 yrs,real estate,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
777,no checking account,6,all credits at this bank paid back duly,car (used),3384,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,44,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
778,... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1245,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,bad
779,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,repairs,4623,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
780,... < 0 DM,30,all credits at this bank paid back duly,car (used),8386,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,49,none,rent,1,skilled employee/official,0 to 2,no,bad
781,no checking account,24,existing credits paid back duly till now,furniture/equipment,1024,unknown/no savings account,< 1 yr,< 20,female : single,none,>= 7 yrs,unknown / no property,48,stores,rent,1,skilled employee/official,0 to 2,no,bad
782,... < 0 DM,36,no credits taken/all credits paid back duly,others,14318,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,real estate,57,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
783,... < 0 DM,6,critical account/other credits elsewhere,repairs,433,500 <= ... < 1000 DM,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,24,bank,for free,1,skilled employee/official,3 or more,no,bad
784,no checking account,12,critical account/other credits elsewhere,furniture/equipment,2149,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,< 1 yr,real estate,29,none,own,1,skilled employee/official,0 to 2,no,bad
785,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,2397,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,35,bank,rent,2-3,skilled employee/official,0 to 2,no,bad
786,... < 0 DM,6,critical account/other credits elsewhere,others,931,... <  100 DM,< 1 yr,>= 35,female : non-single or male : single,none,< 1 yr,car or other,32,stores,rent,1,unskilled - resident,0 to 2,no,bad
787,... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1512,500 <= ... < 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,female : single,none,4 <= ... < 7 yrs,car or other,61,stores,rent,2-3,skilled employee/official,0 to 2,no,bad
788,... < 0 DM,24,delay in paying off in the past,retraining,4241,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,4-5,unskilled - resident,0 to 2,no,bad
789,... < 0 DM,24,all credits at this bank paid back duly,car (used),4736,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,25,bank,rent,1,unskilled - resident,0 to 2,no,bad
790,... < 0 DM,15,delay in paying off in the past,others,1778,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,< 1 yr,unknown / no property,26,none,for free,2-3,unemployed/unskilled - non-resident,0 to 2,no,bad
791,0<= ... < 200 DM,15,no credits taken/all credits paid back duly,furniture/equipment,2327,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,no,bad
792,no checking account,24,critical account/other credits elsewhere,car (used),6872,unknown/no savings account,< 1 yr,25 <= ... < 35,male : divorced/separated,none,< 1 yr,car or other,55,bank,rent,1,skilled employee/official,0 to 2,no,bad
793,no checking account,12,no credits taken/all credits paid back duly,repairs,795,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,bad
794,0<= ... < 200 DM,30,existing credits paid back duly till now,retraining,1908,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,66,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
795,... < 0 DM,36,delay in paying off in the past,retraining,1953,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,61,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
796,0<= ... < 200 DM,18,no credits taken/all credits paid back duly,car (used),2864,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,unknown / no property,34,none,rent,1,unskilled - resident,3 or more,no,bad
797,0<= ... < 200 DM,21,all credits at this bank paid back duly,repairs,2319,unknown/no savings account,< 1 yr,25 <= ... < 35,male : divorced/separated,none,< 1 yr,building soc. savings agr./life insurance,33,none,for free,1,skilled employee/official,0 to 2,no,bad
798,no checking account,24,no credits taken/all credits paid back duly,others,915,... >= 1000 DM,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,bad
799,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,others,947,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,38,bank,own,1,skilled employee/official,3 or more,no,bad
800,no checking account,24,no credits taken/all credits paid back duly,others,1381,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,35,none,rent,1,skilled employee/official,0 to 2,no,bad
801,no checking account,24,no credits taken/all credits paid back duly,others,1285,... >= 1000 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,real estate,32,none,for free,1,skilled employee/official,0 to 2,no,bad
802,no checking account,24,no credits taken/all credits paid back duly,others,1371,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,bad
803,... < 0 DM,18,no credits taken/all credits paid back duly,others,1042,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,bad
804,no checking account,12,no credits taken/all credits paid back duly,others,900,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,bad
805,no checking account,24,no credits taken/all credits paid back duly,others,1207,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,bad
806,... < 0 DM,18,delay in paying off in the past,others,2278,... <  100 DM,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,no,bad
807,no checking account,60,existing credits paid back duly till now,retraining,6836,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,63,none,rent,2-3,skilled employee/official,0 to 2,no,bad
808,no checking account,24,no credits taken/all credits paid back duly,car (used),3345,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,39,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
809,no checking account,6,critical account/other credits elsewhere,repairs,1198,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,real estate,35,none,own,1,skilled employee/official,0 to 2,no,bad
810,... < 0 DM,48,no credits taken/all credits paid back duly,retraining,15672,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,bad
811,no checking account,60,no credits taken/all credits paid back duly,retraining,7297,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,co-applicant,>= 7 yrs,real estate,36,none,for free,1,skilled employee/official,0 to 2,no,bad
812,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,domestic appliances,1943,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,no,bad
813,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,3190,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,bad
814,... < 0 DM,9,critical account/other credits elsewhere,car (new),5129,unknown/no savings account,>= 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,real estate,74,bank,own,1,manager/self-empl./highly qualif. employee,3 or more,no,bad
815,... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (used),1808,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,< 1 yr,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,bad
816,0<= ... < 200 DM,10,no credits taken/all credits paid back duly,others,1240,... <  100 DM,>= 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,real estate,48,none,own,1,unskilled - resident,3 or more,no,bad
817,no checking account,12,no credits taken/all credits paid back duly,others,759,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,bad
818,... < 0 DM,8,no credits taken/all credits paid back duly,car (used),1237,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,bad
819,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),1980,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,co-applicant,1 <= ... < 4 yrs,building soc. savings agr./life insurance,19,none,for free,2-3,skilled employee/official,0 to 2,no,bad
820,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,10961,500 <= ... < 1000 DM,4 <= ... < 7 yrs,>= 35,male : married/widowed,co-applicant,1 <= ... < 4 yrs,real estate,27,bank,rent,2-3,skilled employee/official,0 to 2,no,bad
821,no checking account,36,existing credits paid back duly till now,repairs,6887,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,29,stores,rent,1,skilled employee/official,0 to 2,no,bad
822,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1938,unknown/no savings account,< 1 yr,< 20,male : divorced/separated,none,4 <= ... < 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,bad
823,no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,1835,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,25,none,rent,2-3,skilled employee/official,0 to 2,no,bad
824,no checking account,24,existing credits paid back duly till now,furniture/equipment,1659,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,no,bad
825,... < 0 DM,6,existing credits paid back duly till now,others,1209,unknown/no savings account,unemployed,< 20,male : married/widowed,none,>= 7 yrs,car or other,47,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
826,... < 0 DM,48,delay in paying off in the past,retraining,3844,... <  100 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,34,none,own,1,unskilled - resident,3 or more,no,bad
827,no checking account,12,all credits at this bank paid back duly,others,4843,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,co-applicant,>= 7 yrs,car or other,43,none,for free,2-3,skilled employee/official,0 to 2,no,bad
828,... < 0 DM,12,no credits taken/all credits paid back duly,domestic appliances,639,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,bad
829,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,5951,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,bad
830,... < 0 DM,36,delay in paying off in the past,furniture/equipment,3804,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,no,bad
831,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,furniture/equipment,4463,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,bad
832,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,retraining,7980,... >= 1000 DM,< 1 yr,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,27,none,for free,2-3,skilled employee/official,0 to 2,no,bad
833,0<= ... < 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4210,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,bad
834,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,bad
835,... < 0 DM,24,no credits taken/all credits paid back duly,car (new),11560,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,bad
836,... >= 200 DM / salary for at least 1 year,18,delay in paying off in the past,retraining,4165,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,36,stores,rent,2-3,skilled employee/official,3 or more,no,bad
837,... < 0 DM,24,no credits taken/all credits paid back duly,car (used),4057,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : divorced/separated,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,0 to 2,no,bad
838,... >= 200 DM / salary for at least 1 year,18,critical account/other credits elsewhere,others,6458,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,39,bank,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,no,bad
839,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,1386,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,bad
